"Duration (sec)"
254.395
632.482
77.505
454.241
616.616
626.629
406.333
240.989
634.895
576.992
535.643
613.477
436.129
464.985
605.885
551.054
563.173
192.084
633.984
171.000
434.362
621.520
622.740
428.536
188.666
634.278
170.129
566.332
547.835
607.637
459.032
442.738
611.926
539.131
574.137
88.487
634.793
227.795
412.708
625.626
618.062
448.885
111.913
632.968
238.970
554.548
559.083
601.067
479.688
417.959
617.249
526.226
584.025
634.907
271.921
388.986
628.960
612.567
467.618
630.971
289.901
541.543
569.446
593.751
498.381
390.152
621.861
512.282
592.898
634.319
308.836
362.813
631.543
606.231
484.917
628.284
331.306
527.221
578.960
585.663
515.339
358.579
625.770
497.221
600.812
633.019
340.867
333.631
633.392
599.018
500.902
624.906
366.459
511.461
587.653
576.778
530.745
322.129
628.984
480.937
607.812
630.997
369.271
300.589
634.522
590.880
515.692
620.832
397.054
494.104
595.559
567.068
544.742
278.843
631.508
463.320
613.943
628.236
394.830
262.246
634.943
581.769
529.385
616.051
424.086
474.969
602.696
556.505
557.446
224.776
633.342
134.409
444.221
619.238
624.720
418.037
215.837
634.664
121.764
571.629
542.049
610.561
448.217
453.801
609.092
545.037
568.955
148.531
634.487
202.487
423.460
623.731
620.427
439.246
154.270
633.690
208.792
560.397
553.754
604.348
469.924
430.308
614.761
532.616
579.354
634.939
251.680
400.781
627.436
615.331
458.739
20.797
632.026
266.689
547.999
564.537
597.398
489.537
404.037
619.717
519.187
588.714
634.692
291.689
375.853
630.381
609.406
476.716
629.674
312.140
534.329
574.455
589.686
507.312
374.397
623.964
504.680
597.087
633.737
325.878
348.215
632.585
602.621
493.319
626.632
350.050
519.279
583.544
581.192
523.452
340.482
627.514
489.001
604.524
632.067
355.918
317.184
634.062
594.938
508.673
622.896
382.705
502.719
591.828
571.884
538.114
300.832
630.372
472.045
611.074
629.666
382.780
281.653
634.826
586.304
522.890
618.458
411.365
484.469
599.336
561.739
551.436
252.702
632.540
82.213
453.684
616.771
626.518
407.072
239.649
634.886
20.401

