"Time (EpSec)","Range (km)"
10321.545,1413.368655
10331.000,1359.655230
10341.000,1304.148294
10351.000,1250.163868
10361.000,1197.914407
10371.000,1147.643310
10381.000,1099.628123
10391.000,1054.183065
10401.000,1011.660172
10411.000,972.448127
10421.000,936.967571
10431.000,905.661594
10441.000,878.980276
10451.000,857.358851
10461.000,841.190340
10471.000,830.795288
10481.000,826.393044
10491.000,828.079959
10501.000,835.819258
10511.000,849.444941
10521.000,868.678856
10531.000,893.156954
10541.000,922.459498
10551.000,956.140170
10561.000,993.750594
10571.000,1034.858672
10581.000,1079.060628
10591.000,1125.987742
10601.000,1175.308918
10611.000,1226.730454
10621.000,1279.994038
10631.000,1334.873778
10641.000,1391.172832
10643.020,1402.699204
51092.176,1402.508542
51102.000,1354.490496
51112.000,1307.549656
51122.000,1262.784324
51132.000,1220.438455
51142.000,1180.776615
51152.000,1144.081863
51162.000,1110.651835
51172.000,1080.792612
51182.000,1054.810130
51192.000,1032.999144
51202.000,1015.630090
51212.000,1002.934923
51222.000,995.093140
51232.000,992.219864
51242.000,994.357654
51252.000,1001.473365
51262.000,1013.460574
51272.000,1030.147116
51282.000,1051.306687
51292.000,1076.672575
51302.000,1105.951952
51312.000,1138.839193
51322.000,1175.027234
51332.000,1214.216499
51342.000,1256.121350
51352.000,1300.474289
51362.000,1347.028241
51372.000,1395.557506
51375.332,1412.127986
95181.346,1412.601532
95191.000,1360.952459
95201.000,1309.003865
95211.000,1258.837015
95221.000,1210.679865
95231.000,1164.787943
95241.000,1121.445361
95251.000,1080.964522
95261.000,1043.683850
95271.000,1009.962805
95281.000,980.173449
95291.000,954.688039
95301.000,933.862685
95311.000,918.017687
95321.000,907.416522
95331.000,902.245995
95341.000,902.600768
95351.000,908.475072
95361.000,919.763277
95371.000,936.269084
95381.000,957.721706
95391.000,983.795992
95401.000,1014.133434
95411.000,1048.361444
95421.000,1086.109282
95431.000,1127.019986
95441.000,1170.758328
95451.000,1217.015465
95461.000,1265.510928
95471.000,1315.992734
95481.000,1368.236261
95487.351,1402.236431
135921.450,1402.377344
135931.000,1347.734061
135941.000,1291.806297
135951.000,1237.377919
135961.000,1184.661774
