"Time (EpSec)","Range (km)"
4337.058,2388.791617
4338.000,2386.424369
4339.000,2383.928668
4340.000,2381.449681
4341.000,2378.987465
4342.000,2376.542074
4343.000,2374.113565
4344.000,2371.701992
4345.000,2369.307411
4346.000,2366.929876
4347.000,2364.569443
4348.000,2362.226167
4349.000,2359.900100
4350.000,2357.591300
4351.000,2355.299818
4352.000,2353.025710
4353.000,2350.769028
4354.000,2348.529827
4355.000,2346.308159
4356.000,2344.104078
4357.000,2341.917637
4358.000,2339.748888
4359.000,2337.597885
4360.000,2335.464678
4361.000,2333.349321
4362.000,2331.251864
4363.000,2329.172359
4364.000,2327.110858
4365.000,2325.067412
4366.000,2323.042071
4367.000,2321.034885
4368.000,2319.045906
4369.000,2317.075182
4370.000,2315.122764
4371.000,2313.188700
4372.000,2311.273041
4373.000,2309.375834
4374.000,2307.497127
4375.000,2305.636970
4376.000,2303.795410
4377.000,2301.972495
4378.000,2300.168270
4379.000,2298.382785
4380.000,2296.616084
4381.000,2294.868215
4382.000,2293.139222
4383.000,2291.429152
4384.000,2289.738050
4385.000,2288.065960
4386.000,2286.412927
4387.000,2284.778994
4388.000,2283.164206
4389.000,2281.568606
4390.000,2279.992236
4391.000,2278.435140
4392.000,2276.897359
4393.000,2275.378934
4394.000,2273.879908
4395.000,2272.400321
4396.000,2270.940214
4397.000,2269.499627
4398.000,2268.078599
4399.000,2266.677169
4400.000,2265.295377
4401.000,2263.933261
4402.000,2262.590858
4403.000,2261.268206
4404.000,2259.965342
4405.000,2258.682303
4406.000,2257.419125
4407.000,2256.175843
4408.000,2254.952492
4409.000,2253.749108
4410.000,2252.565723
4411.000,2251.402373
4412.000,2250.259091
4413.000,2249.135908
4414.000,2248.032857
4415.000,2246.949970
4416.000,2245.887279
4417.000,2244.844814
4418.000,2243.822604
4419.000,2242.820681
4420.000,2241.839073
4421.000,2240.877808
4422.000,2239.936915
4423.000,2239.016422
4424.000,2238.116355
4425.000,2237.236742
4426.000,2236.377607
4427.000,2235.538976
4428.000,2234.720876
4429.000,2233.923329
4430.000,2233.146359
4431.000,2232.389990
4432.000,2231.654245
4433.000,2230.939145
4434.000,2230.244712
4435.000,2229.570967
4436.000,2228.917930
4437.000,2228.285622
4438.000,2227.674061
4439.000,2227.083266
4440.000,2226.513256
4441.000,2225.964047
4442.000,2225.435657
4443.000,2224.928101
4444.000,2224.441397
4445.000,2223.975558
4446.000,2223.530599
