"Time (EpSec)","Range (km)"
4337.058,2388.791617
4347.000,2364.569445
4357.000,2341.917640
4367.000,2321.034889
4377.000,2301.972499
4387.000,2284.779000
4397.000,2269.499633
4407.000,2256.175851
4417.000,2244.844822
4427.000,2235.538987
4437.000,2228.285633
4447.000,2223.106547
4457.000,2220.017715
4467.000,2219.029109
4477.000,2220.144551
4487.000,2223.361658
4497.000,2228.671867
4507.000,2236.060632
4517.000,2245.507517
4527.000,2256.986553
4537.000,2270.466570
4547.000,2285.911603
4557.000,2303.281338
4567.000,2322.531594
4577.000,2343.614831
4587.000,2366.480650
4591.453,2377.222619
10164.841,2396.838377
10174.000,2336.749483
10184.000,2271.340731
10194.000,2206.162668
10204.000,2141.244048
10214.000,2076.616873
10224.000,2012.316872
10234.000,1948.384061
10244.000,1884.863403
10254.000,1821.805570
10264.000,1759.267854
10274.000,1697.315226
10284.000,1636.021579
10294.000,1575.471193
10304.000,1515.760434
10314.000,1456.999747
10324.000,1399.315936
10334.000,1342.854787
10344.000,1287.783999
10354.000,1234.296412
10364.000,1182.613408
10374.000,1132.988313
10384.000,1085.709457
10394.000,1041.102368
10404.000,999.530335
10414.000,961.392316
10424.000,927.116936
10434.000,897.151295
10444.000,871.943596
10454.000,851.919483
10464.000,837.453441
10474.000,828.838466
10484.000,826.258836
10494.000,829.771408
10504.000,839.299583
10514.000,854.641415
10524.000,875.489936
10534.000,901.461188
10544.000,932.124550
10554.000,967.030784
10564.000,1005.734764
10574.000,1047.811889
10584.000,1092.868417
10594.000,1140.546789
10604.000,1190.527252
10614.000,1242.526987
10624.000,1296.297748
10634.000,1351.622719
10644.000,1408.313102
10654.000,1466.204728
10664.000,1525.154883
10674.000,1585.039391
10684.000,1645.750087
10694.000,1707.192555
10704.000,1769.284190
10714.000,1831.952533
10724.000,1895.133847
10734.000,1958.771900
10744.000,2022.816930
10754.000,2087.224763
10764.000,2151.956061
10774.000,2216.975684
10784.000,2282.252139
10794.000,2347.757116
10797.323,2369.572395
16372.366,2392.003155
16382.000,2384.893866
16392.000,2379.524761
16402.000,2376.217188
16412.000,2374.979645
16422.000,2375.815015
16432.000,2378.720526
16442.000,2383.687784
16449.871,2389.038822
45047.782,2378.114312
45057.000,2335.347940
45067.000,2290.089626
45077.000,2246.089018
45087.000,2203.426956
45097.000,2162.188016
45107.000,2122.460333
45117.000,2084.335332
45127.000,2047.907349
45137.000,2013.273135
45147.000,1980.531222
45157.000,1949.781149
45167.000,1921.122542
45177.000,1894.654048
45187.000,1870.472125
45197.000,1848.669727
45207.000,1829.334878
45217.000,1812.549187
45227.000,1798.386439
45237.000,1786.911045
45247.000,1778.176790
45257.000,1772.225645
45267.000,1769.086817
45277.000,1768.776082
45287.000,1771.295405
45297.000,1776.632908
45307.000,1784.763143
45317.000,1795.647701
45327.000,1809.236070
45337.000,1825.466808
45347.000,1844.268749
45357.000,1865.562478
45367.000,1889.261785
45377.000,1915.275149
45387.000,1943.507167
45397.000,1973.859907
45407.000,2006.234147
45417.000,2040.530474
45427.000,2076.650243
45437.000,2114.496394
45447.000,2153.974115
45457.000,2194.991374
45467.000,2237.459331
45477.000,2281.292631
45487.000,2326.409605
45497.000,2372.732379
45502.023,2396.432891
50926.835,2368.714621
50936.000,2310.790886
50946.000,2247.914771
50956.000,2185.415436
50966.000,2123.332996
50976.000,2061.711905
50986.000,2000.601527
50996.000,1940.056789
51006.000,1880.138931
51016.000,1820.916348
51026.000,1762.465552
51036.000,1704.872249
51046.000,1648.232539
51056.000,1592.654251
51066.000,1538.258386
51076.000,1485.180668
51086.000,1433.573136
51096.000,1383.605744
51106.000,1335.467822
51116.000,1289.369273
51126.000,1245.541268
51136.000,1204.236162
51146.000,1165.726264
51156.000,1130.301057
51166.000,1098.262410
51176.000,1069.917525
51186.000,1045.569319
51196.000,1025.504478
51206.000,1009.979783
51216.000,999.207801
51226.000,993.343546
51236.000,992.473818
51246.000,996.610972
51256.000,1005.691948
51266.000,1019.582864
51276.000,1038.088360
51286.000,1060.964241
51296.000,1087.931673
51306.000,1118.691181
51316.000,1152.935343
51326.000,1190.359161
51336.000,1230.667993
51346.000,1273.583065
51356.000,1318.844862
51366.000,1366.214826
51376.000,1415.475783
51386.000,1466.431461
51396.000,1518.905436
51406.000,1572.739729
51416.000,1627.793237
51426.000,1683.940128
51436.000,1741.068268
51446.000,1799.077733
51456.000,1857.879437
51466.000,1917.393886
51476.000,1977.550056
51486.000,2038.284406
51496.000,2099.539954
51506.000,2161.265555
51516.000,2223.415180
51526.000,2285.947321
51536.000,2348.824473
51543.451,2395.878353
95019.691,2396.194028
95029.000,2336.243505
95039.000,2272.083974
95049.000,2208.206168
95059.000,2144.642940
95069.000,2081.430772
95079.000,2018.610286
95089.000,1956.226833
95099.000,1894.331176
95109.000,1832.980280
95119.000,1772.238230
95129.000,1712.177290
95139.000,1652.879113
95149.000,1594.436147
95159.000,1536.953219
95169.000,1480.549331
95179.000,1425.359666
95189.000,1371.537768
95199.000,1319.257876
95209.000,1268.717294
95219.000,1220.138665
95229.000,1173.771889
95239.000,1129.895335
95249.000,1088.815854
95259.000,1050.866958
95269.000,1016.404473
95279.000,985.798792
95289.000,959.423331
95299.000,937.638896
95309.000,920.774628
95319.000,909.107039
95329.000,902.839682
95339.000,902.086592
95349.000,906.862333
95359.000,917.080759
95369.000,932.562598
95379.000,953.050435
95389.000,978.228290
95399.000,1007.742711
95409.000,1041.222523
95419.000,1078.295537
95429.000,1118.601268
95439.000,1161.799677
95449.000,1207.576412
95459.000,1255.645269
95469.000,1305.748629
95479.000,1357.656527
95489.000,1411.164897
95499.000,1466.093375
95509.000,1522.282933
95519.000,1579.593536
95529.000,1637.901908
95539.000,1697.099481
95549.000,1757.090537
95559.000,1817.790569
95569.000,1879.124830
95579.000,1941.027065
95589.000,2003.438417
95599.000,2066.306471
95609.000,2129.584431
95619.000,2193.230408
95629.000,2257.206806
95639.000,2321.479791
95646.321,2368.703670
101083.183,2396.070287
101093.000,2355.035541
101103.000,2314.586906
101113.000,2275.578156
101123.000,2238.088741
101133.000,2202.200224
101143.000,2167.995883
101153.000,2135.560212
101163.000,2104.978325
101173.000,2076.335262
101183.000,2049.715198
101193.000,2025.200554
101203.000,2002.871037
101213.000,1982.802606
101223.000,1965.066401
101233.000,1949.727660
101243.000,1936.844662
101253.000,1926.467666
101263.000,1918.638074
101273.000,1913.387591
101283.000,1910.737613
101293.000,1910.698798
101303.000,1913.270846
101313.000,1918.442504
101323.000,1926.191786
101333.000,1936.486416
101343.000,1949.284453
101353.000,1964.535081
101363.000,1982.179550
101373.000,2002.152118
101383.000,2024.381224
101393.000,2048.790503
101403.000,2075.299880
101413.000,2103.826592
101423.000,2134.286162
101433.000,2166.593275
101443.000,2200.662572
101453.000,2236.409343
101463.000,2273.750118
101473.000,2312.603164
101483.000,2352.888885
101489.516,2379.874110
130027.628,2385.026148
130037.000,2362.846252
130047.000,2340.978417
130057.000,2321.020097
130067.000,2303.023719
130077.000,2287.038155
130087.000,2273.108153
130097.000,2261.273791
130107.000,2251.569960
130117.000,2244.025902
130127.000,2238.664806
130137.000,2235.503480
130147.000,2234.552112
130157.000,2235.814119
130167.000,2239.286106
130177.000,2244.957894
130187.000,2252.812737
130197.000,2262.827478
130207.000,2274.972936
130217.000,2289.214299
130227.000,2305.511590
130237.000,2323.820181
130247.000,2344.091344
130257.000,2366.272814
130267.000,2390.309370
130268.617,2394.365937
135767.921,2369.152585
135777.000,2309.469594
135787.000,2243.931835
135797.000,2178.625854
135807.000,2113.580583
135817.000,2048.828268
135827.000,1984.404977
135837.000,1920.351173
135847.000,1856.712410
135857.000,1793.540133
135867.000,1730.892631
135877.000,1668.836158
135887.000,1607.446254
135897.000,1546.809294
135907.000,1487.024310
135917.000,1428.205116
135927.000,1370.482774
135937.000,1314.008410
135947.000,1258.956398
135957.000,1205.527858
135967.000,1153.954351
135977.000,1104.501570
135987.000,1057.472622
135997.000,1013.210303
136007.000,972.097479
136017.000,934.554371
136027.000,901.031328
136037.000,871.995626
136047.000,847.911331
136057.000,829.212334
136067.000,816.270508
136077.000,809.363088
136087.000,808.645048
136097.000,814.132397
136107.000,825.700386
136117.000,843.097074
136127.000,865.968967
136137.000,893.893047
136147.000,926.409228
136157.000,963.048691
136167.000,1003.355632
136177.000,1046.901974
136187.000,1093.295837
136197.000,1142.185137
136207.000,1193.257795
136217.000,1246.239801
136227.000,1300.892085
136237.000,1357.006889
136247.000,1414.404037
136257.000,1472.927378
136267.000,1532.441530
136277.000,1592.828970
136287.000,1653.987495
136297.000,1715.828009
136307.000,1778.272654
136317.000,1841.253189
136327.000,1904.709620
136337.000,1968.589039
136347.000,2032.844637
136357.000,2097.434862
136367.000,2162.322713
136377.000,2227.475130
136387.000,2292.862481
136397.000,2358.458117
136402.815,2396.690945
179890.848,2395.008336
179900.000,2341.557603
179910.000,2283.682303
179920.000,2226.409163
179930.000,2169.792911
179940.000,2113.893318
179950.000,2058.775686
179960.000,2004.511378
179970.000,1951.178367
179980.000,1898.861819
179990.000,1847.654675
180000.000,1797.658229
180010.000,1748.982683
180020.000,1701.747620
180030.000,1656.082394
180040.000,1612.126342
180050.000,1570.028775
180060.000,1529.948668
180070.000,1492.053953
180080.000,1456.520314
180090.000,1423.529422
180100.000,1393.266469
180110.000,1365.917084
180120.000,1341.663385
180130.000,1320.679540
180140.000,1303.126754
180150.000,1289.148041
180160.000,1278.863061
180170.000,1272.363435
180180.000,1269.708920
180190.000,1270.924793
180200.000,1276.000787
180210.000,1284.891480
180220.000,1297.518381
180230.000,1313.773277
180240.000,1333.522616
180250.000,1356.612521
180260.000,1382.874028
180270.000,1412.128212
180280.000,1444.190889
180290.000,1478.876795
180300.000,1516.002947
180310.000,1555.391419
180320.000,1596.871359
180330.000,1640.280415
180340.000,1685.465630
180350.000,1732.283906
180360.000,1780.602121
180370.000,1830.297007
180380.000,1881.254822
180390.000,1933.370907
180400.000,1986.549165
180410.000,2040.701490
180420.000,2095.747184
180430.000,2151.612379
180440.000,2208.229469
180450.000,2265.536578
180460.000,2323.477054
180467.841,2369.315869
185887.287,2396.932564
185897.000,2342.901716
185907.000,2288.037568
185917.000,2234.007835
185927.000,2180.880610
185937.000,2128.729436
185947.000,2077.633662
185957.000,2027.678794
185967.000,1978.956813
185977.000,1931.566445
185987.000,1885.613355
185997.000,1841.210249
186007.000,1798.476830
186017.000,1757.539584
186027.000,1718.531346
186037.000,1681.590597
186047.000,1646.860449
186057.000,1614.487279
186067.000,1584.618971
186077.000,1557.402778
186087.000,1532.982739
186097.000,1511.496858
186107.000,1493.073925
186117.000,1477.830244
186127.000,1465.866380
186137.000,1457.264109
186147.000,1452.083782
186157.000,1450.362283
186167.000,1452.111736
186177.000,1457.319090
186187.000,1465.946513
186197.000,1477.932801
186207.000,1493.195372
186217.000,1511.632941
186227.000,1533.128571
186237.000,1557.552938
186247.000,1584.767605
186257.000,1614.628164
186267.000,1646.987105
186277.000,1681.696350
186287.000,1718.609412
186297.000,1757.583072
186307.000,1798.478837
186317.000,1841.163879
186327.000,1885.511745
186337.000,1931.402787
186347.000,1978.724368
186357.000,2027.370903
186367.000,2077.243750
186377.000,2128.251019
186387.000,2180.307291
186397.000,2233.333306
186407.000,2287.255607
186417.000,2342.006183
186422.929,2374.835145
220634.474,2370.987863
220644.000,2310.333535
220654.000,2246.991849
220664.000,2184.021525
220674.000,2121.463038
220684.000,2059.361287
220694.000,1997.766188
220704.000,1936.733350
220714.000,1876.324854
220724.000,1816.610133
220734.000,1757.666972
220744.000,1699.582637
220754.000,1642.455143
220764.000,1586.394655
220774.000,1531.525018
220784.000,1477.985405
220794.000,1425.932021
220804.000,1375.539815
220814.000,1327.004063
220824.000,1280.541671
220834.000,1236.391957
220844.000,1194.816587
220854.000,1156.098290
220864.000,1120.537874
220874.000,1088.449154
220884.000,1060.151223
220894.000,1035.958130
220904.000,1016.165971
220914.000,1001.038167
220924.000,990.790192
220934.000,985.575501
220944.000,985.474680
220954.000,990.489365
220964.000,1000.542161
220974.000,1015.482421
220984.000,1035.096977
220994.000,1059.124105
221004.000,1087.268778
221014.000,1119.217469
221024.000,1154.651093
221034.000,1193.255519
221044.000,1234.729321
221054.000,1278.789000
221064.000,1325.172032
221074.000,1373.638212
221084.000,1423.969763
221094.000,1475.970574
221104.000,1529.464924
221114.000,1584.295897
221124.000,1640.323681
221134.000,1697.423855
221144.000,1755.485745
221154.000,1814.410885
221164.000,1874.111608
221174.000,1934.509780
221184.000,1995.535659
221194.000,2057.126897
221204.000,2119.227644
221214.000,2181.787779
221224.000,2244.762219
221234.000,2308.110331
221244.000,2371.795401
221247.950,2397.036531
226724.624,2372.625396
226734.000,2332.655826
226744.000,2291.246190
226754.000,2251.167837
226764.000,2212.496851
226774.000,2175.311852
226784.000,2139.693694
226794.000,2105.725071
226804.000,2073.490039
226814.000,2043.073431
226824.000,2014.560167
226834.000,1988.034472
226844.000,1963.578987
226854.000,1941.273795
226864.000,1921.195386
226874.000,1903.415563
226884.000,1888.000332
226894.000,1875.008828
226904.000,1864.492202
226914.000,1856.492771
226924.000,1851.043131
226934.000,1848.165514
226944.000,1847.871331
226954.000,1850.160930
226964.000,1855.023579
226974.000,1862.437686
226984.000,1872.371234
226994.000,1884.782416
227004.000,1899.620438
227014.000,1916.826464
227024.000,1936.334665
227034.000,1958.073244
227044.000,1981.965650
227054.000,2007.931604
227064.000,2035.888170
227074.000,2065.750733
227084.000,2097.433903
227094.000,2130.852311
227104.000,2165.921312
227114.000,2202.557580
227124.000,2240.679606
227134.000,2280.208095
227144.000,2321.066282
227154.000,2363.180165
227160.753,2392.293842
264787.531,2392.831988
264797.000,2349.259091
264807.000,2304.308051
264817.000,2260.518771
264827.000,2217.965687
264837.000,2176.726800
264847.000,2136.883562
264857.000,2098.520694
264867.000,2061.725903
264877.000,2026.589505
264887.000,1993.203938
264897.000,1961.663142
264907.000,1932.061818
264917.000,1904.494546
264927.000,1879.054777
264937.000,1855.833701
264947.000,1834.919009
264957.000,1816.393562
264967.000,1800.334098
264977.000,1786.809769
264987.000,1775.880895
264997.000,1767.597737
265007.000,1761.999434
265017.000,1759.113152
265027.000,1758.953478
265037.000,1761.522089
265047.000,1766.807723
265057.000,1774.786443
265067.000,1785.422187
265077.000,1798.667554
265087.000,1814.464894
265097.000,1832.747381
265107.000,1853.440384
265117.000,1876.462798
265127.000,1901.728408
265137.000,1929.147213
265147.000,1958.626681
265157.000,1990.072903
265167.000,2023.391623
265177.000,2058.489151
265187.000,2095.273129
265197.000,2133.653174
265207.000,2173.541394
265217.000,2214.852789
265227.000,2257.505547
265237.000,2301.421252
265247.000,2346.524997
265252.515,2371.883811
270714.812,2397.077609
270724.000,2339.148577
270734.000,2276.451099
270744.000,2214.159053
270754.000,2152.314857
270764.000,2090.965412
270774.000,2030.162686
270784.000,1969.964353
270794.000,1910.434535
270804.000,1851.644623
270814.000,1793.674199
270824.000,1736.612069
270834.000,1680.557386
270844.000,1625.620886
270854.000,1571.926192
270864.000,1519.611183
270874.000,1468.829360
270884.000,1419.751139
270894.000,1372.564961
270904.000,1327.478061
270914.000,1284.716677
270924.000,1244.525460
270934.000,1207.165752
270944.000,1172.912417
270954.000,1142.048857
270964.000,1114.860105
270974.000,1091.623800
270984.000,1072.599389
270994.000,1058.016150
271004.000,1048.061014
271014.000,1042.867518
271024.000,1042.507288
271034.000,1046.985190
271044.000,1056.239073
271054.000,1070.143892
271064.000,1088.519773
271074.000,1111.142782
271084.000,1137.757021
271094.000,1168.086713
271104.000,1201.847233
271114.000,1238.754341
271124.000,1278.531521
271134.000,1320.915157
271144.000,1365.657964
271154.000,1412.530900
271164.000,1461.323909
271174.000,1511.845801
271184.000,1563.923553
271194.000,1617.401239
271204.000,1672.138757
271214.000,1728.010459
271224.000,1784.903791
271234.000,1842.717965
271244.000,1901.362720
271254.000,1960.757175
271264.000,2020.828789
271274.000,2081.512418
271284.000,2142.749482
271294.000,2204.487209
271304.000,2266.677985
271314.000,2329.278761
271320.697,2371.414629
305527.320,2374.164285
305537.000,2319.081575
305547.000,2262.868599
305557.000,2207.420450
305567.000,2152.802940
305577.000,2099.087531
305587.000,2046.351789
305597.000,1994.679835
305607.000,1944.162792
305617.000,1894.899202
305627.000,1846.995396
305637.000,1800.565786
305647.000,1755.733040
305657.000,1712.628095
305667.000,1671.389964
305677.000,1632.165268
305687.000,1595.107426
305697.000,1560.375457
305707.000,1528.132314
305717.000,1498.542706
305727.000,1471.770476
305737.000,1447.975313
305747.000,1427.309201
305757.000,1409.912453
305767.000,1395.909645
305777.000,1385.405633
305787.000,1378.481941
305797.000,1375.193780
305807.000,1375.567923
305817.000,1379.601720
305827.000,1387.263126
305837.000,1398.492006
305847.000,1413.202414
305857.000,1431.285708
305867.000,1452.614261
305877.000,1477.045467
305887.000,1504.425810
305897.000,1534.594753
305907.000,1567.388276
305917.000,1602.642009
305927.000,1640.193763
305937.000,1679.885631
305947.000,1721.565554
305957.000,1765.088445
305967.000,1810.316919
305977.000,1857.121715
305987.000,1905.381840
305997.000,1954.984526
306007.000,2005.825028
306017.000,2057.806316
306027.000,2110.838696
306037.000,2164.839384
306047.000,2219.732062
306057.000,2275.446420
306067.000,2331.917711
306077.000,2389.086321
306078.374,2396.995501
311500.793,2369.597993
311510.000,2317.291410
311520.000,2261.124405
311530.000,2205.681617
311540.000,2151.024821
311550.000,2097.221146
311560.000,2044.343511
311570.000,1992.471086
311580.000,1941.689744
311590.000,1892.092506
311600.000,1843.779943
311610.000,1796.860531
311620.000,1751.450904
311630.000,1707.675985
311640.000,1665.668928
311650.000,1625.570834
311660.000,1587.530158
311670.000,1551.701767
311680.000,1518.245555
311690.000,1487.324581
311700.000,1459.102708
311710.000,1433.741638
311720.000,1411.397592
311730.000,1392.217469
311740.000,1376.334802
311750.000,1363.865667
311760.000,1354.904787
311770.000,1349.522131
311780.000,1347.760250
311790.000,1349.632622
311800.000,1355.123041
311810.000,1364.186339
311820.000,1376.750077
311830.000,1392.717290
311840.000,1411.969926
311850.000,1434.372775
311860.000,1459.777569
311870.000,1488.027026
311880.000,1518.958623
311890.000,1552.407985
311900.000,1588.211690
311910.000,1626.209709
311920.000,1666.247176
311930.000,1708.175741
311940.000,1751.854501
311950.000,1797.150562
311960.000,1843.939299
311970.000,1892.104402
311980.000,1941.537736
311990.000,1992.139068
312000.000,2043.815718
312010.000,2096.482145
312020.000,2150.059493
312030.000,2204.475147
312040.000,2259.662268
312050.000,2315.559351
312060.000,2372.109795
312063.965,2394.702135
349758.732,2387.519116
