"Time (EpSec)","Range (km)"
10321.545,1413.368655
10322.000,1410.759846
10323.000,1405.031864
10324.000,1399.315936
10325.000,1393.612216
10326.000,1387.920862
10327.000,1382.242033
10328.000,1376.575890
10329.000,1370.922597
10330.000,1365.282321
10331.000,1359.655230
10332.000,1354.041495
10333.000,1348.441288
10334.000,1342.854787
10335.000,1337.282168
10336.000,1331.723613
10337.000,1326.179304
10338.000,1320.649428
10339.000,1315.134174
10340.000,1309.633731
10341.000,1304.148295
10342.000,1298.678061
10343.000,1293.223228
10344.000,1287.783999
10345.000,1282.360579
10346.000,1276.953175
10347.000,1271.561997
10348.000,1266.187260
10349.000,1260.829179
10350.000,1255.487974
10351.000,1250.163868
10352.000,1244.857086
10353.000,1239.567857
10354.000,1234.296412
10355.000,1229.042987
10356.000,1223.807819
10357.000,1218.591150
10358.000,1213.393225
10359.000,1208.214291
10360.000,1203.054601
10361.000,1197.914407
10362.000,1192.793969
10363.000,1187.693547
10364.000,1182.613408
10365.000,1177.553818
10366.000,1172.515051
10367.000,1167.497381
10368.000,1162.501087
10369.000,1157.526453
10370.000,1152.573764
10371.000,1147.643310
10372.000,1142.735385
10373.000,1137.850285
10374.000,1132.988313
10375.000,1128.149772
10376.000,1123.334971
10377.000,1118.544222
10378.000,1113.777842
10379.000,1109.036149
10380.000,1104.319467
10381.000,1099.628124
10382.000,1094.962451
10383.000,1090.322782
10384.000,1085.709458
10385.000,1081.122819
10386.000,1076.563213
10387.000,1072.030990
10388.000,1067.526504
10389.000,1063.050113
10390.000,1058.602178
10391.000,1054.183066
10392.000,1049.793144
10393.000,1045.432786
10394.000,1041.102369
10395.000,1036.802272
10396.000,1032.532880
10397.000,1028.294580
10398.000,1024.087763
10399.000,1019.912823
10400.000,1015.770159
10401.000,1011.660172
10402.000,1007.583267
10403.000,1003.539851
10404.000,999.530336
10405.000,995.555136
10406.000,991.614668
10407.000,987.709353
10408.000,983.839614
10409.000,980.005878
10410.000,976.208572
10411.000,972.448128
10412.000,968.724979
10413.000,965.039563
10414.000,961.392316
10415.000,957.783680
10416.000,954.214097
10417.000,950.684011
10418.000,947.193867
10419.000,943.744114
10420.000,940.335199
10421.000,936.967573
10422.000,933.641686
10423.000,930.357989
10424.000,927.116936
10425.000,923.918979
10426.000,920.764570
10427.000,917.654163
10428.000,914.588210
10429.000,911.567164
10430.000,908.591475
10431.000,905.661595
10432.000,902.777973
10433.000,899.941058
10434.000,897.151296
10435.000,894.409130
10436.000,891.715005
10437.000,889.069360
10438.000,886.472632
10439.000,883.925255
10440.000,881.427661
10441.000,878.980276
10442.000,876.583525
10443.000,874.237827
10444.000,871.943597
10445.000,869.701244
10446.000,867.511174
10447.000,865.373787
10448.000,863.289476
10449.000,861.258630
10450.000,859.281630
10451.000,857.358851
10452.000,855.490661
10453.000,853.677421
10454.000,851.919484
10455.000,850.217196
10456.000,848.570892
10457.000,846.980903
10458.000,845.447547
10459.000,843.971135
10460.000,842.551969
10461.000,841.190341
10462.000,839.886531
10463.000,838.640811
10464.000,837.453443
10465.000,836.324676
10466.000,835.254749
10467.000,834.243891
10468.000,833.292317
10469.000,832.400232
10470.000,831.567830
10471.000,830.795290
10472.000,830.082780
10473.000,829.430458
10474.000,828.838465
10475.000,828.306933
10476.000,827.835978
10477.000,827.425704
10478.000,827.076203
10479.000,826.787553
10480.000,826.559817
10481.000,826.393047
10482.000,826.287280
10483.000,826.242539
10484.000,826.258836
10485.000,826.336167
10486.000,826.474514
10487.000,826.673848
10488.000,826.934124
10489.000,827.255284
10490.000,827.637259
10491.000,828.079962
10492.000,828.583298
10493.000,829.147155
10494.000,829.771409
10495.000,830.455924
