"Duration (sec)"
321.474
283.156
306.004
325.350
173.092
283.607
266.951
87.905
115.607
324.070
294.464
297.236
324.543
130.843
64.554
270.871
280.279
162.784
325.266
303.753
286.514
322.337
56.727
129.226
255.886
291.559
196.421
325.062
311.220
273.577
318.719
168.673
238.246
301.005
222.767
323.442
317.013
258.074
313.651
198.511
217.313
308.778
244.219
320.369
321.232
239.494
307.079
222.625
192.039
314.986
262.008
315.782
323.956
217.017
298.920
242.708
160.427
319.705
276.858
309.601
325.238
189.216
289.058
259.674
117.484
81.287
322.989
289.244
301.715
325.109
153.198
277.318
274.096
32.975
142.319
324.861
299.482
291.968
323.583
100.411
103.583
263.465
286.335
181.236
325.336
307.813
280.135
320.653
151.197
247.170
296.651
210.701
324.405
314.403
265.928
316.293
184.936
227.936
305.216
234.327
322.041
319.375
248.916
310.460
211.536
204.945
312.170
253.776
318.197
322.817
228.457
303.085
233.419
176.758
317.604
269.980
312.800
324.793
203.472
294.069
251.804
140.328
321.578
283.519
305.755
325.346

