"Time (EpSec)","Range (km)"
10258.756,1791.995449
10278.000,1672.714220
10298.000,1551.480288
10318.000,1433.789289
10338.000,1320.649429
10358.000,1213.393226
10378.000,1113.777842
10398.000,1024.087763
10418.000,947.193867
10438.000,886.472632
10458.000,845.447545
10478.000,827.076204
10498.000,832.869476
10518.000,862.340130
10538.000,913.188490
10558.000,982.081023
10578.000,1065.497838
10598.000,1160.279367
10618.000,1263.835583
10638.000,1374.144737
10658.000,1489.665109
10678.000,1609.230097
10698.000,1731.955575
10704.898,1774.890963
45238.080,1785.835267
45258.000,1771.784841
45278.000,1768.900753
45298.000,1777.320783
45310.666,1788.436394
51023.950,1774.383670
51043.000,1665.118151
51063.000,1554.445218
51083.000,1448.891276
51103.000,1349.705022
51123.000,1258.436648
51143.000,1176.968810
51163.000,1107.500146
51183.000,1052.436614
51203.000,1014.146833
51223.000,994.580938
51243.000,994.846426
51263.000,1014.921102
51283.000,1053.658668
51303.000,1109.083410
51323.000,1178.815941
51343.000,1260.450730
51363.000,1351.795814
51383.000,1450.977680
51403.000,1556.455313
51423.000,1666.988176
51443.000,1781.587850
51444.597,1790.887474
95115.857,1791.258438
95135.000,1676.501194
95155.000,1559.823909
95175.000,1447.280436
95195.000,1339.972709
95215.000,1239.319319
95235.000,1147.128112
95255.000,1065.648500
95275.000,997.554259
95295.000,945.779727
95315.000,913.135591
95335.000,901.722897
95355.000,912.349801
95375.000,944.273731
95395.000,995.440128
95415.000,1063.058598
95435.000,1144.193925
95455.000,1236.159793
95475.000,1336.690439
95495.000,1443.962196
95515.000,1556.543008
95535.000,1673.320141
95551.840,1774.261346
135860.024,1774.537837
135880.000,1650.345492
135900.000,1528.779469
135920.000,1410.766783
135940.000,1297.334859
135960.000,1189.849631
135980.000,1090.123565
136000.000,1000.527317
136020.000,924.054269
136040.000,864.229844
136060.000,824.710561
136080.000,808.494295
136100.000,816.973519
136120.000,849.401947
136140.000,903.187113
136160.000,974.775800
136180.000,1060.537945
136200.000,1157.290860
136220.000,1262.470134
136240.000,1374.098928
136260.000,1490.683259
136280.000,1611.099854
136300.000,1734.501244
136309.160,1791.834346
180001.640,1789.579669
180021.000,1697.108230
180041.000,1607.830402
180061.000,1526.058011
180081.000,1453.103752
180101.000,1390.397378
180121.000,1339.415086
180141.000,1301.565868
180161.000,1278.041507
180181.000,1269.656217
180201.000,1276.719244
180221.000,1298.982625
180241.000,1335.683966
180261.000,1385.667788
180281.000,1447.544481
180301.000,1519.842871
180321.000,1601.128056
180341.000,1690.076248
180358.945,1775.435387
186008.734,1791.245179
186028.000,1714.741910
186048.000,1643.514637
186068.000,1581.775597
186088.000,1530.699909
186108.000,1491.404697
186128.000,1464.853707
186148.000,1451.755600
186168.000,1452.477307
186188.000,1466.995185
186208.000,1494.898077
186228.000,1535.441441
186248.000,1587.637015
186268.000,1650.354716
186288.000,1722.416372
186302.652,1780.468294
220730.832,1776.253701
220750.000,1665.184558
220770.000,1553.321427
220790.000,1446.564271
220810.000,1346.182206
220830.000,1253.758071
220850.000,1171.223854
220870.000,1100.847634
220890.000,1045.123277
220910.000,1006.514522
220930.000,987.050501
220950.000,987.872853
220970.000,1008.932217
220990.000,1049.002052
221010.000,1106.001946
221030.000,1177.452904
221050.000,1260.872115
221070.000,1354.016196
221090.000,1454.981623
221110.000,1562.212424
221130.000,1674.462471
221150.000,1790.743076
221150.232,1792.109962
264979.022,1784.388680
264999.000,1766.262240
265019.000,1758.862850
265039.000,1762.362427
265059.000,1776.702379
265063.152,1781.018105
270814.281,1792.058830
270834.000,1680.557388
270854.000,1571.926193
270874.000,1468.829361
270894.000,1372.564962
270914.000,1284.716682
270934.000,1207.165757
270954.000,1142.048853
270974.000,1091.623804
270994.000,1058.016152
271014.000,1042.867530
271034.000,1046.985185
271054.000,1070.143899
271074.000,1111.142785
271094.000,1168.086726
271114.000,1238.754337
271134.000,1320.915151
271154.000,1412.530906
271174.000,1511.845804
271194.000,1617.401242
271214.000,1728.010461
271222.568,1776.696685
305641.614,1779.674939
305661.000,1695.900773
305681.000,1617.073311
305701.000,1547.170329
305721.000,1487.486658
305741.000,1439.325224
305761.000,1403.897709
305781.000,1382.202800
305801.000,1374.903445
305821.000,1382.233739
305841.000,1403.963995
305861.000,1439.435391
305881.000,1487.652581
305901.000,1547.406434
305921.000,1617.395908
305941.000,1696.327327
305961.000,1782.982591
305962.881,1791.488021
311614.575,1775.890832
311634.000,1690.653294
311654.000,1610.099134
311674.000,1538.025538
311694.000,1475.702810
311714.000,1424.433495
311734.000,1385.461766
311754.000,1359.855827
311774.000,1348.381473
311794.000,1351.396502
311814.000,1368.796699
311834.000,1400.031324
311854.000,1444.183104
311874.000,1500.087017
311894.000,1566.455998
311914.000,1641.988420
311934.000,1725.444840
311948.249,1789.106412
355651.285,1791.938662
355671.000,1669.303214
355691.000,1547.581832
355711.000,1429.316369
355731.000,1315.500561
355751.000,1207.452890
355771.000,1106.920717
355791.000,1016.190374
355811.000,938.158336
355831.000,876.265110
355851.000,834.143837
355871.000,814.888926
355891.000,820.123991
355911.000,849.396815
355931.000,900.356349
355951.000,969.571076
355971.000,1053.423660
355991.000,1148.682099
356011.000,1252.711718
356031.000,1363.467217
356051.000,1479.396694
356071.000,1599.330938
356091.000,1722.387111
356099.381,1774.712018
396412.821,1774.305209
396432.000,1661.983035
396452.000,1548.573999
396472.000,1439.902686
396492.000,1337.174000
396512.000,1241.909552
396532.000,1155.998060
396552.000,1081.706923
396572.000,1021.604541
396592.000,978.331864
396612.000,954.195019
396632.000,950.657162
396652.000,967.939412
396672.000,1004.954891
396692.000,1059.616626
396712.000,1129.337800
396732.000,1211.488369
396752.000,1303.683577
396772.000,1403.905143
396792.000,1510.512636
396812.000,1622.201518
396832.000,1737.944499
396840.989,1791.066536
440511.591,1791.098820
440531.000,1676.642258
440551.000,1562.215483
440571.000,1452.250758
440591.000,1347.899359
440611.000,1250.623620
440631.000,1162.254742
440651.000,1085.020188
440671.000,1021.492147
440691.000,974.391772
440711.000,946.203837
440731.000,938.652834
440751.000,952.239416
440771.000,986.090509
440791.000,1038.217615
440811.000,1106.023978
440831.000,1186.803151
440851.000,1278.070311
440871.000,1377.710885
440891.000,1484.003721
440911.000,1595.581433
440931.000,1711.369638
440941.626,1774.304131
481253.739,1774.679446
481273.000,1654.985336
481293.000,1533.432755
481313.000,1415.432674
481333.000,1302.009095
481353.000,1194.521936
481373.000,1094.773637
481393.000,1005.119199
481413.000,928.529774
481433.000,868.504027
481453.000,828.675401
481473.000,812.036821
481493.000,820.005597
481513.000,851.885202
481533.000,905.136924
481553.000,976.245878
481573.000,1061.599481
481593.000,1158.016792
481613.000,1262.926841
481633.000,1374.343302
481653.000,1490.762629
481673.000,1611.053095
481693.000,1734.360192
481702.200,1791.907703
525402.720,1789.231579
525422.000,1702.326860
525442.000,1618.969649
525462.000,1543.680215
525482.000,1477.734121
525502.000,1422.469045
525522.000,1379.202103
525542.000,1349.115063
525562.000,1333.121436
525582.000,1331.743431
525602.000,1345.033764
525622.000,1372.567821
525642.000,1413.508688
525662.000,1466.723624
525682.000,1530.917577
525702.000,1604.753191
525722.000,1686.940487
525741.886,1775.766749
531392.805,1791.455687
531412.000,1709.083452
531432.000,1630.845189
531452.000,1561.535652
531472.000,1502.421709
531492.000,1454.772170
531512.000,1419.761465
531532.000,1398.352705
531552.000,1391.180935
531572.000,1398.465656
531592.000,1419.978433
531612.000,1455.076210
531632.000,1502.789732
531652.000,1561.940431
531672.000,1631.257133
531692.000,1709.472174
531708.495,1779.822873
566129.232,1776.600123
566149.000,1664.645117
566169.000,1555.848241
566189.000,1452.614088
566209.000,1356.265673
566229.000,1268.421789
566249.000,1191.010081
566269.000,1126.222681
566289.000,1076.373881
566309.000,1043.631162
566329.000,1029.643848
566349.000,1035.179798
566369.000,1059.931676
566389.000,1102.596548
566409.000,1161.184668
566429.000,1233.405795
566449.000,1316.990404
566469.000,1409.885787
566489.000,1510.338050
566509.000,1616.899368
566529.000,1728.397603
566540.101,1792.063440
572314.053,1781.967898
572334.000,1778.044047
572351.577,1783.469528
616204.018,1792.085817
616224.000,1676.526100
616244.000,1564.978400
616264.000,1458.549058
616284.000,1358.494151
616304.000,1266.374841
616324.000,1184.089911
616344.000,1113.860979
616364.000,1058.124871
616384.000,1019.287824
616404.000,999.339408
616424.000,999.419680
616444.000,1019.523161
616464.000,1058.500379
616484.000,1114.355716
616504.000,1184.680772
616524.000,1267.039392
616544.000,1359.212096
616564.000,1459.302829
616584.000,1565.753046
616604.000,1677.308945
616621.166,1776.366332
651047.049,1780.293303
651067.000,1700.425268
651087.000,1628.677727
651107.000,1566.437412
651127.000,1514.909012
651147.000,1475.242624
651167.000,1448.434507
651187.000,1435.220618
651207.000,1435.985246
651227.000,1450.708828
651247.000,1478.970864
651267.000,1520.006875
651287.000,1572.802321
651307.000,1636.199313
651327.000,1708.994051
651347.000,1790.012009
651347.304,1791.299153
656997.144,1775.528382
657017.000,1682.822267
657037.000,1596.169369
657057.000,1517.456716
657077.000,1448.010638
657097.000,1389.247414
657117.000,1342.590913
657137.000,1309.350307
657157.000,1290.570417
657177.000,1286.885608
657197.000,1298.418789
657217.000,1324.760587
657237.000,1365.036029
657257.000,1418.034986
657277.000,1482.365272
657297.000,1556.590362
657317.000,1639.330880
657337.000,1729.326084
657349.649,1789.475560
701044.212,1791.869708
701064.000,1668.626123
701084.000,1546.711886
701104.000,1428.206778
701124.000,1314.095208
701144.000,1205.685355
701164.000,1104.714668
701184.000,1013.463113
701204.000,934.830289
701224.000,872.277921
701244.000,829.485776
701264.000,809.616751
701284.000,814.362777
701304.000,843.309639
701324.000,894.101074
701344.000,963.270353
701364.000,1047.157401
701384.000,1142.494525
701404.000,1246.622522
701424.000,1357.481218
701444.000,1473.510542
701464.000,1593.537283
701484.000,1716.677025
701493.262,1774.561646
741802.411,1774.259455
741822.000,1657.553038
741842.000,1541.878114
741862.000,1430.621893
741882.000,1324.949141
741902.000,1226.352208
741922.000,1136.718035
741942.000,1058.365422
741962.000,993.998596
741982.000,946.500283
742002.000,918.507322
742022.000,911.824504
